id;case_no;village_name;accuser_name;application_no;land_reference_no;first_appeal;amount;project_name;court_name;defendant_name;case_description;case_filing_date;total_claim_amount;case_officer;caselawyer;next_hearing_date;amount_deposite_in_court;lar;inc_compensation;amount_paid_slo;cheque_no;cheque_date;appeal_no;court_amount;appeal_amount;appeal_date;description;comment;case_status;freefield_1;freefield_2;freefield_3;last_modified_by;last_modified;total_area;land_acquisition_officer_no;related_clauses;section_4_notification_date;judgement_date;accuser_lawyer;defedant_lawyer;nature_result;application_no_file_additional_interest;current_application_status;amount_additional_interestdefendant_district_court;current_case_status;bank_guarantee_detail_application_no
1;Kids;moratorium alarm Mouse;withdrawal Lead;Garden B2C;Pants model Plastic;HTTP Engineer;United enable;Ergonomic Re-contextualized strategic;Architect Mouse firewall;Fantastic;intuitive Island Rubber;Books Avon;explicit Florida optical;Wisconsin;Agent Jewelery;drive Wisconsin Timor-Leste;Account Rial dedicated;Concrete Iowa;withdrawal;calculating synergies;payment Investment;Borders Bedfordshire;Electronics;Open-architected benchmark Investor;harness Mississippi;magenta deposit Iran;XSS;Avon;Manager indigo;Compatible hack Tuna;invoice orange Leu;calculate magnetic Engineer;Intranet backing;Christmas;port;Cotton Account;Practical;Assurance bypass methodologies;integrate Berkshire;compress virtual;solid;Steel International;Factors open-source action-items;reinvent mesh Louisiana;programming;transition;scale Fish parse
2;Plastic copy;iterate;wireless panel National;lime;gold;systems Toys;Planner;De-engineered Saint Oval;Cotton;Carolina Camp Suriname;schemas Table;Investor compress Mills;web-enabled Manager;enterprise sensor users;Fantastic Health;Books solutions;Card CSS;dedicated whiteboard Licensed;groupware Fresh Delaware;Virginia red Open-source;invoice salmon Wooden;Personal niches alliance;Sports pixel Dynamic;leverage XML Gorgeous;RSS Car Concrete;e-commerce plum;product;Berkshire;Fantastic platforms Computer;green;Specialist;Bedfordshire Wooden;bottom-line Tuna feed;azure Polarised indexing;Metal Applications invoice;Gold Sweden;online deliver application;bypassing analyzing tan;Point Product;users Springs;virtual Junctions;sensor;Frozen B2B;Books North;Facilitator relationships;Engineer port;channels
3;Operative viral Representative;Mill;interface synergies Rupee;Valleys Implementation innovative;Investor Response;overriding;indigo Codes Progressive;Multi-tiered Toys Serbia;bandwidth Indonesia Toys;Facilitator Malagasy Cambridgeshire;Ville Tasty;port;green (Keeling) Omani;Cambridgeshire;De-engineered implementation;transmitter;invoice;Burundi Accounts;microchip parsing online;Nebraska;even-keeled Branding Awesome;silver;Car Car;Synergized black XML;Neck deposit;web-enabled Accountability whiteboard;Strategist withdrawal withdrawal;Fresh Rapids West;Movies;navigate input connect;B2B Buckinghamshire Berkshire;calculating hacking;calculate;Keyboard;state systemic;Loan fuchsia Soap;Jamaica;Massachusetts Multi-channelled Awesome;Plastic Business-focused;Borders haptic;generate Rubber matrix;Mouse;niches global;Program;protocol management;Baby Timor-Leste;exuding index grey
4;Operative RAM;generating Intelligent synthesizing;invoice;Direct Assistant;quantifying;Cambridgeshire Dollar synergies;parsing Usability Kentucky;microchip Towels;Quality-focused Switchable HTTP;Tuna Mouse Granite;Fully-configurable;calculating;Central Practical;Customer Division navigating;up Executive Books;South;SSL;moratorium;JBOD calculate;payment Licensed;scale;Buckinghamshire Cambridgeshire;Manat Personal;Africa Pants Fantastic;Handcrafted;Unbranded;Horizontal black engineer;Georgia Shoes Locks;Programmable;copy withdrawal Jersey;cyan;cutting-edge;Customizable Chair interfaces;XML methodology;Rhode 24/365 benchmark;program;Switchable Auto Tasty;throughput systemic;navigate iterate;integrate;base intuitive;Minnesota;Indiana virtual;Checking turquoise;Home;hacking Credit Points;Toys streamline monitor
5;payment;parsing multi-byte Car;1080p;up Row;Towels SDD;Distributed;Automated compressing;Plastic Bike;payment Unbranded Lithuanian;Intranet Mexico;encoding;customized B2B;Cross-platform;tan Savings;Strategist Representative;integrate Pants;revolutionize;hybrid Consultant;Rustic;Vatu web-readiness methodical;Shirt;optimize strategy calculate;Tenge Liaison pixel;Auto;Guinea plum;multi-byte multi-byte;Chips Cambridgeshire program;web-enabled;deposit;bus;Assurance copy;COM;invoice;Bacon;Views executive;Montana blue Account;Infrastructure virtual;Frozen Integration driver;parse copy Operations;Fiji;quantify;Gorgeous CSS;Salad salmon;HDD;network Customizable;Card Metal;Handmade initiatives white
6;Devolved;Multi-channelled Future;Salad transmitting;haptic overriding black;Shoes;Pants;invoice cohesive Chicken;full-range;sky defect fresh-thinking;Tennessee Wisconsin;withdrawal Light;Chips synergies Customer;red Music Romania;Music;next-generation;Associate portals Corporate;Soft;Avon primary Director;Steel;program Peso Shirt;SSL JBOD Future;Account visionary;Human Computer Naira;circuit;Key;Somalia;Applications matrix;Isle;Yemen Loan solutions;Generic non-volatile;program;Vermont Branding base;Fiji;Fantastic Small recontextualize;bypassing Account;Greece and;Cambridgeshire Architect;Spring Cotton;e-tailers redundant Account;Liberian Harbors aggregate;Loan;reciprocal;Towels violet;quantify Cambridgeshire radical;Mouse Sao;Stravenue Buckinghamshire Bedfordshire;functionalities Nebraska payment
7;transmitter;withdrawal virtual up;pixel systemic Direct;primary migration;black SMTP;analyzing success Account;interface sensor Mobility;brand;wireless discrete;bypass mobile;Implementation Avon;innovative Yuan primary;Frozen streamline;virtual;Unbranded;disintermediate;Awesome Dynamic fuchsia;National systems;Strategist Boliviano;Factors Account;initiative quantifying clear-thinking;Guyana Shore;Loan;multi-tasking hacking;transmitting fuchsia quantifying;Spain tolerance;Brand;Metal Ergonomic Future;drive Compatible gold;California;gold Forward benchmark;Gorgeous Bedfordshire;Administrator;calculating;open-source Awesome;backing Lead reintermediate;process Analyst;maroon deliverables;neural;orchid;gold;Human impactful;Switzerland;Global regional web-readiness;Web cross-platform Cordoba;Awesome;invoice Checking
8;dynamic 1080p;SDD Principal;deposit Concrete Tenge;help-desk;sensor;plum Buckinghamshire invoice;Versatile networks niches;Chicken payment;seamless real-time;Peso Walk online;Account;invoice;Table;Operations National;eyeballs;microchip Tennessee;web-enabled;Soft;Sleek;orchid Bedfordshire Illinois;Consultant tan;process synthesize indexing;Dinar Corporate Nepalese;Rubber XSS transmitter;invoice drive vertical;Shore Strategist;Cambridgeshire;Monitored circuit;compressing Louisiana;Borders Tools;Engineer Soap;solution Group port;mindshare Mouse Accountability;navigate Account;input Small;alliance Product;Cambridgeshire Account;Home Alaska;zero frame Poland;empowering value-added;experiences;invoice deposit Ergonomic;THX Alabama bypassing;Shirt schemas;Nauru haptic generating;radical redundant Automated;backing
9;haptic;demand-driven Ball initiatives;e-tailers Incredible Licensed;infrastructure;experiences metrics;Incredible;payment Savings;system circuit Investment;Forges;Slovenia;TCP;Borders;open-source reciprocal Ball;Bedfordshire Frozen Avon;Account;Senegal;Analyst calculate Intelligent;vertical Program;back-end Tuna;cross-platform Surinam;olive tan;York intranet synergistic;Plastic;Leu;Virginia Shoes grey;Wyoming;engage;incentivize AI;primary;Identity parsing;Configurable up West;compressing Berkshire;Account digital;override Business-focused;feed Accountability;Denar;Human enhance;black;PCI Money;Rufiyaa Dalasi tertiary;calculating Anguilla Loan;Personal;Bacon Bacon neural;Handcrafted;Arkansas;Towels Legacy;iterate Assurance Rustic
10;Fields Gorgeous;deploy;copying Fantastic SMS;Overpass Iowa;Cambridgeshire Cambridgeshire;Shore function;granular fuchsia Open-source;Gloves Self-enabling;deposit Plastic Rubber;Bacon;Assurance tan Tools;Bedfordshire content;Handmade Program Technician;Front-line purple application;multi-byte;Handcrafted state;Lead Developer Future;Account mobile;Account back-end;Parks;Assistant Car card;defect Lari;Agent calculating;Senior;Home mobile invoice;Internal Human mission-critical;panel;Kuwait Ireland;Montana;methodical value-added;Prairie Reduced Dong;GB panel;Borders XML;salmon compressing;actuating Account;Botswana Tactics;Dynamic CSS;array Principal Corners;Web back;navigating;infrastructures partnerships cross-media;Thailand Crescent;Glen;driver mint Licensed;copying index Checking;sky;Steel Jewelery incentivize
